Unnamed: 0,img_date,img_path,img_name,short_term_span,short_term,long_term,nn_short_term_span,nn_short_term,nn_long_term,models agree,hour,month,day,year
,2021-11-05 20:20:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-05-2021_2020.png,tests_11-05-2021_2020.png,7.0,3.97,3.67,7.0,3.97,3.67,True,20,11,5.0,2021.0
,2021-11-05 21:21:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-05-2021_2121.png,tests_11-05-2021_2121.png,1.0,7.05,3.67,1.0,7.05,3.67,True,21,11,5.0,2021.0
,2021-11-05 22:22:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-05-2021_2222.png,tests_11-05-2021_2222.png,7.0,3.57,3.67,7.0,3.97,3.67,False,22,11,5.0,2021.0
,2021-11-05 23:23:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-05-2021_2323.png,tests_11-05-2021_2323.png,1.0,6.81,3.67,1.0,6.81,3.67,True,23,11,5.0,2021.0
,2021-11-06 00:24:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-06-2021_0024.png,tests_11-06-2021_0024.png,1.0,7.13,3.67,1.0,7.13,3.67,True,0,11,6.0,2021.0
,2021-11-06 01:25:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-06-2021_0125.png,tests_11-06-2021_0125.png,7.0,3.97,3.67,7.0,3.97,3.67,True,1,11,6.0,2021.0
,2021-11-06 02:26:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-06-2021_0226.png,tests_11-06-2021_0226.png,1.0,6.51,3.67,1.0,6.51,3.67,True,2,11,6.0,2021.0
,2021-11-06 03:27:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-06-2021_0327.png,tests_11-06-2021_0327.png,7.0,3.97,3.67,7.0,3.97,3.67,True,3,11,6.0,2021.0
,2021-11-06 04:28:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-06-2021_0428.png,tests_11-06-2021_0428.png,7.0,3.97,3.67,7.0,3.97,3.67,True,4,11,6.0,2021.0
,2021-11-06 05:29:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-06-2021_0529.png,tests_11-06-2021_0529.png,1.0,5.51,3.67,1.0,5.51,3.67,True,5,11,6.0,2021.0
,2021-11-06 06:30:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-06-2021_0630.png,tests_11-06-2021_0630.png,7.0,3.97,3.67,7.0,3.97,3.67,True,6,11,6.0,2021.0
,2021-11-06 07:31:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-06-2021_0731.png,tests_11-06-2021_0731.png,1.0,5.77,3.67,1.0,5.37,3.67,False,7,11,6.0,2021.0
,2021-11-06 08:32:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-06-2021_0832.png,tests_11-06-2021_0832.png,7.0,3.97,3.67,7.0,3.97,3.67,True,8,11,6.0,2021.0
,2021-11-06 09:32:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-06-2021_0932.png,tests_11-06-2021_0932.png,7.0,3.97,3.67,7.0,3.97,3.67,True,9,11,6.0,2021.0
