,img_date,img_path,short_term_span,short_term,long_term,nn_short_term_span,nn_short_term,nn_long_term,models agree
37,2021-11-06 05:29:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-06-2021_0529.png,1.0,5.51,3.67,1.0,5.51,3.67,True
38,2021-11-06 06:30:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-06-2021_0630.png,7.0,3.97,3.67,7.0,3.97,3.67,True
39,2021-11-06 07:31:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-06-2021_0731.png,1.0,5.77,3.67,1.0,5.77,3.67,True
40,2021-11-06 08:32:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-06-2021_0832.png,7.0,3.97,3.67,7.0,3.97,3.67,True
41,2021-11-06 09:32:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-06-2021_0932.png,7.0,3.97,3.67,7.0,3.97,3.67,True
42,2021-11-06 10:33:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-06-2021_1033.png,1.0,6.1,3.67,1.0,6.1,3.67,True
43,2021-11-06 11:34:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-06-2021_1134.png,1.0,5.83,3.67,1.0,5.83,3.67,True
44,2021-11-06 12:35:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-06-2021_1235.png,1.0,5.4,3.67,1.0,5.4,3.67,True
45,2021-11-06 13:36:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-06-2021_1336.png,1.0,5.54,3.67,1.0,5.54,3.67,True
46,2021-11-06 14:37:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-06-2021_1437.png,7.0,3.97,3.67,7.0,3.97,3.67,True
47,2021-11-06 15:38:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-06-2021_1538.png,1.0,5.78,3.67,1.0,5.78,3.67,True
48,2021-11-06 16:39:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-06-2021_1639.png,1.0,5.89,3.67,1.0,5.89,3.67,True
49,2021-11-06 19:30:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-06-2021_1930.png,1.0,5.37,3.67,1.0,5.37,3.67,True
50,2021-11-06 20:31:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-06-2021_2031.png,1.0,4.72,3.67,1.0,4.72,3.67,True
51,2021-11-06 21:32:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-06-2021_2132.png,,,,,,,
52,2021-11-06 22:32:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-06-2021_2232.png,,,,,,,
53,2021-11-06 23:33:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-06-2021_2333.png,,,,,,,
54,2021-11-07 00:34:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-07-2021_0034.png,,,,,,,
55,2021-11-07 01:35:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-07-2021_0135.png,,,,,,,
56,2021-11-07 01:36:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-07-2021_0136.png,,,,,,,
57,2021-11-07 02:37:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-07-2021_0237.png,,,,,,,
58,2021-11-07 03:38:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-07-2021_0338.png,,,,,,,
59,2021-11-07 04:39:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-07-2021_0439.png,,,,,,,
60,2021-11-07 05:40:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-07-2021_0540.png,,,,,,,
61,2021-11-07 06:41:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-07-2021_0641.png,,,,,,,
62,2021-11-07 07:42:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-07-2021_0742.png,,,,,,,
63,2021-11-07 08:43:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-07-2021_0843.png,,,,,,,
64,2021-11-07 09:44:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-07-2021_0944.png,,,,,,,
65,2021-11-07 10:45:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-07-2021_1045.png,,,,,,,
66,2021-11-07 11:46:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-07-2021_1146.png,,,,,,,
67,2021-11-07 12:47:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-07-2021_1247.png,,,,,,,
68,2021-11-07 13:48:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-07-2021_1348.png,,,,,,,
69,2021-11-07 14:49:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-07-2021_1449.png,,,,,,,
70,2021-11-07 15:50:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-07-2021_1550.png,,,,,,,
71,2021-11-07 16:51:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-07-2021_1651.png,,,,,,,
72,2021-11-07 17:50:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-07-2021_1750.png,,,,,,,
73,2021-11-07 18:51:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-07-2021_1851.png,,,,,,,
74,2021-11-07 19:52:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-07-2021_1952.png,,,,,,,
75,2021-11-07 20:53:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-07-2021_2053.png,,,,,,,
76,2021-11-07 21:54:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-07-2021_2154.png,,,,,,,
77,2021-11-07 22:55:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-07-2021_2255.png,,,,,,,
78,2021-11-07 23:56:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-07-2021_2356.png,,,,,,,
79,2021-11-08 00:57:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-08-2021_0057.png,,,,,,,
80,2021-11-08 01:58:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-08-2021_0158.png,,,,,,,
